quantity_kind,unit,symbol,quantity_name
http://qudt.org/vocab/quantitykind/EnergyInternal,BTU_IT,U,EnergyInternal
http://qudt.org/vocab/quantitykind/EnergyInternal,BTU_TH,U,EnergyInternal
http://qudt.org/vocab/quantitykind/EnergyInternal,CAL_IT,U,EnergyInternal
http://qudt.org/vocab/quantitykind/EnergyInternal,CAL_TH,U,EnergyInternal
http://qudt.org/vocab/quantitykind/EnergyInternal,ERG,U,EnergyInternal
http://qudt.org/vocab/quantitykind/EnergyInternal,EV,U,EnergyInternal
http://qudt.org/vocab/quantitykind/EnergyInternal,E_h,U,EnergyInternal
http://qudt.org/vocab/quantitykind/EnergyInternal,ExaJ,U,EnergyInternal
http://qudt.org/vocab/quantitykind/EnergyInternal,FT-LB_F,U,EnergyInternal
http://qudt.org/vocab/quantitykind/EnergyInternal,FT-PDL,U,EnergyInternal
http://qudt.org/vocab/quantitykind/EnergyInternal,FemtoJ,U,EnergyInternal
http://qudt.org/vocab/quantitykind/EnergyInternal,GigaEV,U,EnergyInternal
http://qudt.org/vocab/quantitykind/EnergyInternal,GigaJ,U,EnergyInternal
http://qudt.org/vocab/quantitykind/EnergyInternal,GigaW-HR,U,EnergyInternal
http://qudt.org/vocab/quantitykind/EnergyInternal,J,U,EnergyInternal
http://qudt.org/vocab/quantitykind/EnergyInternal,KiloBTU_IT,U,EnergyInternal
http://qudt.org/vocab/quantitykind/EnergyInternal,KiloBTU_TH,U,EnergyInternal
http://qudt.org/vocab/quantitykind/EnergyInternal,KiloCAL,U,EnergyInternal
http://qudt.org/vocab/quantitykind/EnergyInternal,KiloEV,U,EnergyInternal
http://qudt.org/vocab/quantitykind/EnergyInternal,KiloJ,U,EnergyInternal
http://qudt.org/vocab/quantitykind/EnergyInternal,KiloVA-HR,U,EnergyInternal
http://qudt.org/vocab/quantitykind/EnergyInternal,KiloVAR-HR,U,EnergyInternal
http://qudt.org/vocab/quantitykind/EnergyInternal,KiloW-HR,U,EnergyInternal
http://qudt.org/vocab/quantitykind/EnergyInternal,MegaBTU_IT,U,EnergyInternal
http://qudt.org/vocab/quantitykind/EnergyInternal,MegaEV,U,EnergyInternal
http://qudt.org/vocab/quantitykind/EnergyInternal,MegaJ,U,EnergyInternal
http://qudt.org/vocab/quantitykind/EnergyInternal,MegaTOE,U,EnergyInternal
http://qudt.org/vocab/quantitykind/EnergyInternal,MegaVA-HR,U,EnergyInternal
http://qudt.org/vocab/quantitykind/EnergyInternal,MegaVAR-HR,U,EnergyInternal
http://qudt.org/vocab/quantitykind/EnergyInternal,MegaW-HR,U,EnergyInternal
http://qudt.org/vocab/quantitykind/EnergyInternal,MicroJ,U,EnergyInternal
http://qudt.org/vocab/quantitykind/EnergyInternal,MilliJ,U,EnergyInternal
http://qudt.org/vocab/quantitykind/EnergyInternal,NanoJ,U,EnergyInternal
http://qudt.org/vocab/quantitykind/EnergyInternal,PetaJ,U,EnergyInternal
http://qudt.org/vocab/quantitykind/EnergyInternal,PicoJ,U,EnergyInternal
http://qudt.org/vocab/quantitykind/EnergyInternal,PlanckEnergy,U,EnergyInternal
http://qudt.org/vocab/quantitykind/EnergyInternal,QUAD,U,EnergyInternal
http://qudt.org/vocab/quantitykind/EnergyInternal,THERM_EC,U,EnergyInternal
http://qudt.org/vocab/quantitykind/EnergyInternal,THERM_US,U,EnergyInternal
http://qudt.org/vocab/quantitykind/EnergyInternal,THM_EEC,U,EnergyInternal
http://qudt.org/vocab/quantitykind/EnergyInternal,THM_US,U,EnergyInternal
http://qudt.org/vocab/quantitykind/EnergyInternal,TOE,U,EnergyInternal
http://qudt.org/vocab/quantitykind/EnergyInternal,TeraJ,U,EnergyInternal
http://qudt.org/vocab/quantitykind/EnergyInternal,TeraW-HR,U,EnergyInternal
http://qudt.org/vocab/quantitykind/EnergyInternal,TonEnergy,U,EnergyInternal
http://qudt.org/vocab/quantitykind/EnergyInternal,VA-HR,U,EnergyInternal
http://qudt.org/vocab/quantitykind/EnergyInternal,VAR-HR,U,EnergyInternal
http://qudt.org/vocab/quantitykind/EnergyInternal,W-HR,U,EnergyInternal
http://qudt.org/vocab/quantitykind/EnergyInternal,W-SEC,U,EnergyInternal
http://qudt.org/vocab/quantitykind/EnergyKinetic,AttoJ,nan,EnergyKinetic
http://qudt.org/vocab/quantitykind/EnergyKinetic,BTU_IT,nan,EnergyKinetic
http://qudt.org/vocab/quantitykind/EnergyKinetic,BTU_TH,nan,EnergyKinetic
http://qudt.org/vocab/quantitykind/EnergyKinetic,CAL_IT,nan,EnergyKinetic
http://qudt.org/vocab/quantitykind/EnergyKinetic,CAL_TH,nan,EnergyKinetic
http://qudt.org/vocab/quantitykind/EnergyKinetic,ERG,nan,EnergyKinetic
http://qudt.org/vocab/quantitykind/EnergyKinetic,EV,nan,EnergyKinetic
http://qudt.org/vocab/quantitykind/EnergyKinetic,E_h,nan,EnergyKinetic
http://qudt.org/vocab/quantitykind/EnergyKinetic,ExaJ,nan,EnergyKinetic
http://qudt.org/vocab/quantitykind/EnergyKinetic,FT-LB_F,nan,EnergyKinetic
http://qudt.org/vocab/quantitykind/EnergyKinetic,FT-PDL,nan,EnergyKinetic
http://qudt.org/vocab/quantitykind/EnergyKinetic,FemtoJ,nan,EnergyKinetic
http://qudt.org/vocab/quantitykind/EnergyKinetic,GigaEV,nan,EnergyKinetic
http://qudt.org/vocab/quantitykind/EnergyKinetic,GigaJ,nan,EnergyKinetic
http://qudt.org/vocab/quantitykind/EnergyKinetic,GigaW-HR,nan,EnergyKinetic
