start_time,end_time,start_time_iso,end_time_iso,project_id,num_model_requests,user_id,api_key_id,model,batch,service_tier,input_tokens,output_tokens,input_cached_tokens,input_uncached_tokens,input_text_tokens,output_text_tokens,input_cached_text_tokens,input_audio_tokens,input_cached_audio_tokens,output_audio_tokens,input_image_tokens,input_cached_image_tokens,output_image_tokens
1770943620,1770943680,2026-02-13T00:47:00+00:00,2026-02-13T00:48:00+00:00,,,,,,,,,,,,,,,,,,,,
1770943680,1770943740,2026-02-13T00:48:00+00:00,2026-02-13T00:49:00+00:00,,,,,,,,,,,,,,,,,,,,
1770943740,1770943800,2026-02-13T00:49:00+00:00,2026-02-13T00:50:00+00:00,,,,,,,,,,,,,,,,,,,,
1770943800,1770943860,2026-02-13T00:50:00+00:00,2026-02-13T00:51:00+00:00,,,,,,,,,,,,,,,,,,,,
1770943860,1770943920,2026-02-13T00:51:00+00:00,2026-02-13T00:52:00+00:00,,,,,,,,,,,,,,,,,,,,
1770943920,1770943980,2026-02-13T00:52:00+00:00,2026-02-13T00:53:00+00:00,,,,,,,,,,,,,,,,,,,,
1770943980,1770944040,2026-02-13T00:53:00+00:00,2026-02-13T00:54:00+00:00,,,,,,,,,,,,,,,,,,,,
1770944040,1770944100,2026-02-13T00:54:00+00:00,2026-02-13T00:55:00+00:00,,,,,,,,,,,,,,,,,,,,
1770944100,1770944160,2026-02-13T00:55:00+00:00,2026-02-13T00:56:00+00:00,,,,,,,,,,,,,,,,,,,,
1770944160,1770944220,2026-02-13T00:56:00+00:00,2026-02-13T00:57:00+00:00,,,,,,,,,,,,,,,,,,,,
1770944220,1770944280,2026-02-13T00:57:00+00:00,2026-02-13T00:58:00+00:00,,,,,,,,,,,,,,,,,,,,
1770944280,1770944340,2026-02-13T00:58:00+00:00,2026-02-13T00:59:00+00:00,,,,,,,,,,,,,,,,,,,,
1770944340,1770944400,2026-02-13T00:59:00+00:00,2026-02-13T01:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1770944400,1770944460,2026-02-13T01:00:00+00:00,2026-02-13T01:01:00+00:00,,,,,,,,,,,,,,,,,,,,
1770944460,1770944520,2026-02-13T01:01:00+00:00,2026-02-13T01:02:00+00:00,,,,,,,,,,,,,,,,,,,,
1770944520,1770944580,2026-02-13T01:02:00+00:00,2026-02-13T01:03:00+00:00,,,,,,,,,,,,,,,,,,,,
1770944580,1770944640,2026-02-13T01:03:00+00:00,2026-02-13T01:04:00+00:00,,,,,,,,,,,,,,,,,,,,
1770944640,1770944700,2026-02-13T01:04:00+00:00,2026-02-13T01:05:00+00:00,,,,,,,,,,,,,,,,,,,,
1770944700,1770944760,2026-02-13T01:05:00+00:00,2026-02-13T01:06:00+00:00,,,,,,,,,,,,,,,,,,,,
1770944760,1770944820,2026-02-13T01:06:00+00:00,2026-02-13T01:07:00+00:00,,,,,,,,,,,,,,,,,,,,
1770944820,1770944880,2026-02-13T01:07:00+00:00,2026-02-13T01:08:00+00:00,,,,,,,,,,,,,,,,,,,,
1770944880,1770944940,2026-02-13T01:08:00+00:00,2026-02-13T01:09:00+00:00,,,,,,,,,,,,,,,,,,,,
1770944940,1770945000,2026-02-13T01:09:00+00:00,2026-02-13T01:10:00+00:00,,,,,,,,,,,,,,,,,,,,
1770945000,1770945060,2026-02-13T01:10:00+00:00,2026-02-13T01:11:00+00:00,,,,,,,,,,,,,,,,,,,,
1770945060,1770945120,2026-02-13T01:11:00+00:00,2026-02-13T01:12:00+00:00,,,,,,,,,,,,,,,,,,,,
